image,duration,graphSize
250087,5.130693249870092,128628.0
259060,3.94383674999699,133311.0
140006,5.494333665817976,129896.0
106047,9.968370584072545,128881.0
279005,8.584227458108217,127218.0
5096,4.3701627920381725,130689.0
246009,8.286913583986461,127906.0
48017,6.102527207927778,131528.0
10081,6.053837875137106,128832.0
36046,5.198699292028323,131009.0
372019,6.982456125086173,129439.0
189013,5.543129584053531,128238.0
250047,6.3247964170295745,131997.0
183066,5.398927207803354,130361.0
108069,5.900863958057016,132167.0
253016,5.311302833957598,131883.0
104055,5.35385866696015,129703.0
70011,13.561617250088602,128860.0
296028,6.385035082930699,129865.0
35028,6.241685625165701,128680.0
228076,5.270429583033547,128879.0
217090,5.176019249949604,133002.0
225022,5.301263000117615,129780.0
175083,4.017118624877185,134114.0
189006,6.49291737517342,129550.0
257098,5.265820832923055,130428.0
393035,5.914786584209651,129804.0
80085,5.101630249992013,127622.0
317043,3.4422667080070823,132355.0
64061,4.929050958016887,129700.0
128035,6.716283916030079,131065.0
107014,4.563213750021532,131897.0
28083,4.691047916887328,131126.0
146074,5.740186457987875,131149.0
220003,4.555407625157386,133211.0
120093,5.487302624853328,130075.0
80090,4.565668041119352,131146.0
159022,9.669475707923993,125923.0
78098,4.043586374958977,132417.0
189029,4.806212374940515,129544.0
376086,7.528390374965966,132177.0
15062,3.9726196660194546,131428.0
17067,3.7993919160217047,129631.0
179084,4.999648167053238,128546.0
388006,4.876420916989446,131127.0
226060,6.803133334033191,129688.0
309040,6.057572250021622,132451.0
198087,8.653193458914757,129102.0
69022,8.186404458014295,129649.0
160067,7.707555874949321,128141.0
196040,6.6141131250187755,131345.0
157032,6.8481438329909,128668.0
43033,6.380940791917965,130926.0
94095,3.9319170410744846,131255.0
368037,6.093726957915351,130199.0
61034,5.235819875029847,131097.0
247003,4.984640209004283,129880.0
196027,8.573339916067198,126199.0
35049,8.352182124974206,127581.0
14092,4.236393041908741,129682.0
103029,7.499787000007927,129347.0
20069,7.370023125084117,129287.0
206062,5.071558542083949,129738.0
15011,5.51490916707553,132181.0
201080,5.494143166812137,128955.0
16068,4.077280290890485,131291.0
230063,6.238407999975607,130569.0
118031,4.383750832872465,130904.0
87015,3.843114082934335,131814.0
65084,5.584481374826282,131638.0
108036,3.9370613330975175,131579.0
97010,4.147999000037089,129645.0
41085,4.51826575002633,130622.0
385022,4.33046295796521,129876.0
285022,8.615917791845277,128225.0
14085,3.9002130408771336,130719.0
107072,3.6706004578154534,133307.0
188025,5.719040707917884,130741.0
112090,4.8248327078763396,132613.0
384089,5.219829374924302,128756.0
187058,4.132458874955773,133762.0
140088,5.204614042071626,129971.0
103006,4.646503624971956,132386.0
160006,5.251680874964222,128253.0
209021,5.4814512089360505,130526.0
388067,7.354352541966364,131759.0
51084,5.35521445912309,132053.0
147080,5.307565167080611,131682.0
112056,11.775092749856412,128523.0
202000,5.957493667025119,129359.0
365072,3.9260242499876767,132167.0
43051,27.8090049168095,127386.0
230098,4.496775583131239,131072.0
157087,4.9405427081510425,132430.0
49024,9.920486124930903,127514.0
247012,5.570828374940902,131567.0
161045,7.0318639578763396,128207.0
81066,4.887509041000158,131061.0
232076,7.06698845885694,129707.0
335094,4.074406916974112,129340.0
41096,13.14602049998939,129713.0
296058,3.981394042028114,131247.0
163096,4.336977957980707,131024.0
145079,4.091109415981919,132727.0
187099,3.754823333118111,132495.0
176051,11.501113083213568,129176.0
106005,9.38308058399707,127855.0
258089,5.915332583012059,132625.0
6046,4.178805124945939,130200.0
45000,5.0817019999958575,132960.0
217013,6.311216749949381,129643.0
81095,5.273047582944855,129784.0
107045,5.056213750038296,131884.0
226033,5.062264499953017,132231.0
235098,5.682937333127484,131572.0
109055,9.51493391697295,131057.0
134049,3.85357804200612,133393.0
290035,5.488502833992243,132126.0
3063,9.808536458062008,130052.0
102062,5.140551749849692,133449.0
101027,4.7632243749685585,131758.0
208078,6.410507416818291,129966.0
181021,4.7321706670336425,130163.0
70090,7.3829637079034,130196.0
8068,8.516272749984637,129883.0
164046,5.5720252501778305,130273.0
185092,5.434219000162557,127493.0
100099,17.206204167101532,128242.0
326025,10.73419849993661,132045.0
141012,9.94883345789276,132541.0
238025,9.604852500138804,129834.0
92014,12.090792750008404,130163.0
120003,10.053000542102382,128605.0
206097,7.0589397919829935,130754.0
334025,9.914577499963343,127860.0
168084,8.294958249898627,128241.0
253092,8.09028079197742,129699.0
147077,5.909174542175606,132784.0
249021,7.288276250008494,130073.0
2018,7.875793457962573,129764.0
207038,7.575839499942958,131228.0
79073,5.564734416082501,133449.0
77062,6.140893083065748,130460.0
306051,6.221261834027246,132494.0
134067,5.856682291952893,133071.0
347031,11.46448495797813,127279.0
123057,6.244557874975726,130005.0
189096,6.719217333942652,132060.0
223004,7.138521250104532,128588.0
145059,6.742647374980152,131683.0
277053,6.631578332977369,132786.0
81090,12.06591716594994,130177.0
226022,7.02530370792374,130989.0
335088,6.679379167035222,131090.0
104010,4.526846333872527,132314.0
306052,7.189522500149906,133903.0
108004,4.465603707823902,133276.0
289011,7.261191082885489,129651.0
302022,8.908817749936134,129711.0
130014,7.322894083103165,129666.0
118015,8.099560084054247,129217.0
243095,14.04516450013034,128944.0
118072,4.092737625120208,130831.0
223060,5.460818124935031,130600.0
344010,4.2110980418510735,131968.0
101084,3.6003726250492036,131665.0
384022,6.932569541968405,131042.0
100007,7.383181583834812,128585.0
207049,2.87285687495023,131614.0
69007,4.958978957962245,128756.0
41006,7.316903791856021,129510.0
268074,4.813972250092775,132971.0
268048,4.499565375037491,132179.0
130066,16.29894145904109,127459.0
71099,10.578676624922082,131912.0
23050,17.48910408304073,132551.0
156054,19.978805874940008,130558.0
163004,10.43711333302781,131835.0
346016,7.229499333072454,130551.0
326085,12.148401374928653,131106.0
100039,5.921786457998678,132405.0
29030,6.119698749855161,131060.0
33044,7.866970249917358,129790.0
103078,7.97488999995403,130973.0
117025,8.835155541077256,130277.0
288024,13.03805737500079,130075.0
388018,7.259476291947067,132777.0
48025,8.681458707898855,129782.0
267036,6.108087457949296,130696.0
41029,9.456306415842846,129472.0
69000,6.225469582946971,130108.0
196088,3.8636787079740316,132298.0
226043,9.855541875120252,131422.0
141048,4.063349707983434,133092.0
196062,5.9019371250178665,130221.0
16004,6.530160500202328,131546.0
71076,5.090396667132154,131897.0
281017,4.498625749954954,130469.0
105027,6.004849125165492,130949.0
159002,5.540390082867816,130087.0
